"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"enabler","3","0x7a600c","0x1","int8_t","enabler.input_queue[19].shift","",""
"enabler","3","0x7a600d","0x1","int8_t","enabler.input_queue[19].capslock","",""
"enabler","3","0x7a6010","0x4","int32_t","enabler.input_queue[20].vKey","",""
"enabler","3","0x7a6014","0x1","int8_t","enabler.input_queue[20].shift","",""
"enabler","3","0x7a6015","0x1","int8_t","enabler.input_queue[20].capslock","",""
"enabler","3","0x7a6018","0x4","int32_t","enabler.input_queue[21].vKey","",""
"enabler","3","0x7a601c","0x1","int8_t","enabler.input_queue[21].shift","",""
"enabler","3","0x7a601d","0x1","int8_t","enabler.input_queue[21].capslock","",""
"enabler","3","0x7a6020","0x4","int32_t","enabler.input_queue[22].vKey","",""
"enabler","3","0x7a6024","0x1","int8_t","enabler.input_queue[22].shift","",""
"enabler","3","0x7a6025","0x1","int8_t","enabler.input_queue[22].capslock","",""
"enabler","3","0x7a6028","0x4","int32_t","enabler.input_queue[23].vKey","",""
"enabler","3","0x7a602c","0x1","int8_t","enabler.input_queue[23].shift","",""
"enabler","3","0x7a602d","0x1","int8_t","enabler.input_queue[23].capslock","",""
"enabler","3","0x7a6030","0x4","int32_t","enabler.input_queue[24].vKey","",""
"enabler","3","0x7a6034","0x1","int8_t","enabler.input_queue[24].shift","",""
"enabler","3","0x7a6035","0x1","int8_t","enabler.input_queue[24].capslock","",""
"enabler","3","0x7a6038","0x4","int32_t","enabler.input_queue[25].vKey","",""
"enabler","3","0x7a603c","0x1","int8_t","enabler.input_queue[25].shift","",""
"enabler","3","0x7a603d","0x1","int8_t","enabler.input_queue[25].capslock","",""
"enabler","3","0x7a6040","0x4","int32_t","enabler.input_queue[26].vKey","",""
"enabler","3","0x7a6044","0x1","int8_t","enabler.input_queue[26].shift","",""
"enabler","3","0x7a6045","0x1","int8_t","enabler.input_queue[26].capslock","",""
"enabler","3","0x7a6048","0x4","int32_t","enabler.input_queue[27].vKey","",""
"enabler","3","0x7a604c","0x1","int8_t","enabler.input_queue[27].shift","",""
"enabler","3","0x7a604d","0x1","int8_t","enabler.input_queue[27].capslock","",""
"enabler","3","0x7a6050","0x4","int32_t","enabler.input_queue[28].vKey","",""
"enabler","3","0x7a6054","0x1","int8_t","enabler.input_queue[28].shift","",""
"enabler","3","0x7a6055","0x1","int8_t","enabler.input_queue[28].capslock","",""
"enabler","3","0x7a6058","0x4","int32_t","enabler.input_queue[29].vKey","",""
"enabler","3","0x7a605c","0x1","int8_t","enabler.input_queue[29].shift","",""
"enabler","3","0x7a605d","0x1","int8_t","enabler.input_queue[29].capslock","",""
"enabler","3","0x7a6060","0x4","int32_t","enabler.input_queue[30].vKey","",""
"enabler","3","0x7a6064","0x1","int8_t","enabler.input_queue[30].shift","",""
"enabler","3","0x7a6065","0x1","int8_t","enabler.input_queue[30].capslock","",""
"enabler","3","0x7a6068","0x4","int32_t","enabler.input_queue[31].vKey","",""
"enabler","3","0x7a606c","0x1","int8_t","enabler.input_queue[31].shift","",""
"enabler","3","0x7a606d","0x1","int8_t","enabler.input_queue[31].capslock","",""
"enabler","3","0x7a6070","0x4","int32_t","enabler.input_queue[32].vKey","",""
"enabler","3","0x7a6074","0x1","int8_t","enabler.input_queue[32].shift","",""
"enabler","3","0x7a6075","0x1","int8_t","enabler.input_queue[32].capslock","",""
"enabler","3","0x7a6078","0x4","int32_t","enabler.input_queue[33].vKey","",""
"enabler","3","0x7a607c","0x1","int8_t","enabler.input_queue[33].shift","",""
"enabler","3","0x7a607d","0x1","int8_t","enabler.input_queue[33].capslock","",""
"enabler","3","0x7a6080","0x4","int32_t","enabler.input_queue[34].vKey","",""
"enabler","3","0x7a6084","0x1","int8_t","enabler.input_queue[34].shift","",""
"enabler","3","0x7a6085","0x1","int8_t","enabler.input_queue[34].capslock","",""
"enabler","3","0x7a6088","0x4","int32_t","enabler.input_queue[35].vKey","",""
"enabler","3","0x7a608c","0x1","int8_t","enabler.input_queue[35].shift","",""
"enabler","3","0x7a608d","0x1","int8_t","enabler.input_queue[35].capslock","",""
"enabler","3","0x7a6090","0x4","int32_t","enabler.input_queue[36].vKey","",""
"enabler","3","0x7a6094","0x1","int8_t","enabler.input_queue[36].shift","",""
"enabler","3","0x7a6095","0x1","int8_t","enabler.input_queue[36].capslock","",""
"enabler","3","0x7a6098","0x4","int32_t","enabler.input_queue[37].vKey","",""
"enabler","3","0x7a609c","0x1","int8_t","enabler.input_queue[37].shift","",""
"enabler","3","0x7a609d","0x1","int8_t","enabler.input_queue[37].capslock","",""
"enabler","3","0x7a60a0","0x4","int32_t","enabler.input_queue[38].vKey","",""
"enabler","3","0x7a60a4","0x1","int8_t","enabler.input_queue[38].shift","",""
"enabler","3","0x7a60a5","0x1","int8_t","enabler.input_queue[38].capslock","",""
"enabler","3","0x7a60a8","0x4","int32_t","enabler.input_queue[39].vKey","",""
"enabler","3","0x7a60ac","0x1","int8_t","enabler.input_queue[39].shift","",""
"enabler","3","0x7a60ad","0x1","int8_t","enabler.input_queue[39].capslock","",""
"enabler","3","0x7a60b0","0x4","int32_t","enabler.input_queue[40].vKey","",""
"enabler","3","0x7a60b4","0x1","int8_t","enabler.input_queue[40].shift","",""
"enabler","3","0x7a60b5","0x1","int8_t","enabler.input_queue[40].capslock","",""
"enabler","3","0x7a60b8","0x4","int32_t","enabler.input_queue[41].vKey","",""
"enabler","3","0x7a60bc","0x1","int8_t","enabler.input_queue[41].shift","",""
"enabler","3","0x7a60bd","0x1","int8_t","enabler.input_queue[41].capslock","",""
"enabler","3","0x7a60c0","0x4","int32_t","enabler.input_queue[42].vKey","",""
"enabler","3","0x7a60c4","0x1","int8_t","enabler.input_queue[42].shift","",""
"enabler","3","0x7a60c5","0x1","int8_t","enabler.input_queue[42].capslock","",""
"enabler","3","0x7a60c8","0x4","int32_t","enabler.input_queue[43].vKey","",""
"enabler","3","0x7a60cc","0x1","int8_t","enabler.input_queue[43].shift","",""
"enabler","3","0x7a60cd","0x1","int8_t","enabler.input_queue[43].capslock","",""
"enabler","3","0x7a60d0","0x4","int32_t","enabler.input_queue[44].vKey","",""
"enabler","3","0x7a60d4","0x1","int8_t","enabler.input_queue[44].shift","",""
"enabler","3","0x7a60d5","0x1","int8_t","enabler.input_queue[44].capslock","",""
"enabler","3","0x7a60d8","0x4","int32_t","enabler.input_queue[45].vKey","",""
"enabler","3","0x7a60dc","0x1","int8_t","enabler.input_queue[45].shift","",""
"enabler","3","0x7a60dd","0x1","int8_t","enabler.input_queue[45].capslock","",""
"enabler","3","0x7a60e0","0x4","int32_t","enabler.input_queue[46].vKey","",""
"enabler","3","0x7a60e4","0x1","int8_t","enabler.input_queue[46].shift","",""
"enabler","3","0x7a60e5","0x1","int8_t","enabler.input_queue[46].capslock","",""
"enabler","3","0x7a60e8","0x4","int32_t","enabler.input_queue[47].vKey","",""
"enabler","3","0x7a60ec","0x1","int8_t","enabler.input_queue[47].shift","",""
"enabler","3","0x7a60ed","0x1","int8_t","enabler.input_queue[47].capslock","",""
"enabler","3","0x7a60f0","0x4","int32_t","enabler.input_queue[48].vKey","",""
"enabler","3","0x7a60f4","0x1","int8_t","enabler.input_queue[48].shift","",""
"enabler","3","0x7a60f5","0x1","int8_t","enabler.input_queue[48].capslock","",""
"enabler","3","0x7a60f8","0x4","int32_t","enabler.input_queue[49].vKey","",""
"enabler","3","0x7a60fc","0x1","int8_t","enabler.input_queue[49].shift","",""
"enabler","3","0x7a60fd","0x1","int8_t","enabler.input_queue[49].capslock","",""
"enabler","3","0x7a6100","0x4","int32_t","enabler.input_queue[50].vKey","",""
"enabler","3","0x7a6104","0x1","int8_t","enabler.input_queue[50].shift","",""
"enabler","3","0x7a6105","0x1","int8_t","enabler.input_queue[50].capslock","",""
"enabler","3","0x7a6108","0x4","int32_t","enabler.input_queue[51].vKey","",""
"enabler","3","0x7a610c","0x1","int8_t","enabler.input_queue[51].shift","",""
"enabler","3","0x7a610d","0x1","int8_t","enabler.input_queue[51].capslock","",""
"enabler","3","0x7a6110","0x4","int32_t","enabler.input_queue[52].vKey","",""
"enabler","3","0x7a6114","0x1","int8_t","enabler.input_queue[52].shift","",""
"enabler","3","0x7a6115","0x1","int8_t","enabler.input_queue[52].capslock","",""
"enabler","3","0x7a6118","0x4","int32_t","enabler.input_queue[53].vKey","",""
"enabler","3","0x7a611c","0x1","int8_t","enabler.input_queue[53].shift","",""
"enabler","3","0x7a611d","0x1","int8_t","enabler.input_queue[53].capslock","",""
"enabler","3","0x7a6120","0x4","int32_t","enabler.input_queue[54].vKey","",""
"enabler","3","0x7a6124","0x1","int8_t","enabler.input_queue[54].shift","",""
"enabler","3","0x7a6125","0x1","int8_t","enabler.input_queue[54].capslock","",""
"enabler","3","0x7a6128","0x4","int32_t","enabler.input_queue[55].vKey","",""
"enabler","3","0x7a612c","0x1","int8_t","enabler.input_queue[55].shift","",""
"enabler","3","0x7a612d","0x1","int8_t","enabler.input_queue[55].capslock","",""
"enabler","3","0x7a6130","0x4","int32_t","enabler.input_queue[56].vKey","",""
"enabler","3","0x7a6134","0x1","int8_t","enabler.input_queue[56].shift","",""
"enabler","3","0x7a6135","0x1","int8_t","enabler.input_queue[56].capslock","",""
"enabler","3","0x7a6138","0x4","int32_t","enabler.input_queue[57].vKey","",""
"enabler","3","0x7a613c","0x1","int8_t","enabler.input_queue[57].shift","",""
"enabler","3","0x7a613d","0x1","int8_t","enabler.input_queue[57].capslock","",""
"enabler","3","0x7a6140","0x4","int32_t","enabler.input_queue[58].vKey","",""
"enabler","3","0x7a6144","0x1","int8_t","enabler.input_queue[58].shift","",""
"enabler","3","0x7a6145","0x1","int8_t","enabler.input_queue[58].capslock","",""
"enabler","3","0x7a6148","0x4","int32_t","enabler.input_queue[59].vKey","",""
"enabler","3","0x7a614c","0x1","int8_t","enabler.input_queue[59].shift","",""
"enabler","3","0x7a614d","0x1","int8_t","enabler.input_queue[59].capslock","",""
"enabler","3","0x7a6150","0x4","int32_t","enabler.input_queue[60].vKey","",""
"enabler","3","0x7a6154","0x1","int8_t","enabler.input_queue[60].shift","",""
"enabler","3","0x7a6155","0x1","int8_t","enabler.input_queue[60].capslock","",""
"enabler","3","0x7a6158","0x4","int32_t","enabler.input_queue[61].vKey","",""
"enabler","3","0x7a615c","0x1","int8_t","enabler.input_queue[61].shift","",""
"enabler","3","0x7a615d","0x1","int8_t","enabler.input_queue[61].capslock","",""
"enabler","3","0x7a6160","0x4","int32_t","enabler.input_queue[62].vKey","",""
"enabler","3","0x7a6164","0x1","int8_t","enabler.input_queue[62].shift","",""
"enabler","3","0x7a6165","0x1","int8_t","enabler.input_queue[62].capslock","",""
"enabler","3","0x7a6168","0x4","int32_t","enabler.input_queue[63].vKey","",""
"enabler","3","0x7a616c","0x1","int8_t","enabler.input_queue[63].shift","",""
"enabler","3","0x7a616d","0x1","int8_t","enabler.input_queue[63].capslock","",""
"enabler","3","0x7a6170","0x4","int32_t","enabler.input_queue[64].vKey","",""
"enabler","3","0x7a6174","0x1","int8_t","enabler.input_queue[64].shift","",""
"enabler","3","0x7a6175","0x1","int8_t","enabler.input_queue[64].capslock","",""
"enabler","3","0x7a6178","0x4","int32_t","enabler.input_queue[65].vKey","",""
"enabler","3","0x7a617c","0x1","int8_t","enabler.input_queue[65].shift","",""
"enabler","3","0x7a617d","0x1","int8_t","enabler.input_queue[65].capslock","",""
"enabler","3","0x7a6180","0x4","int32_t","enabler.input_queue[66].vKey","",""
"enabler","3","0x7a6184","0x1","int8_t","enabler.input_queue[66].shift","",""
"enabler","3","0x7a6185","0x1","int8_t","enabler.input_queue[66].capslock","",""
"enabler","3","0x7a6188","0x4","int32_t","enabler.input_queue[67].vKey","",""
"enabler","3","0x7a618c","0x1","int8_t","enabler.input_queue[67].shift","",""
"enabler","3","0x7a618d","0x1","int8_t","enabler.input_queue[67].capslock","",""
"enabler","3","0x7a6190","0x4","int32_t","enabler.input_queue[68].vKey","",""
"enabler","3","0x7a6194","0x1","int8_t","enabler.input_queue[68].shift","",""
"enabler","3","0x7a6195","0x1","int8_t","enabler.input_queue[68].capslock","",""
"enabler","3","0x7a6198","0x4","int32_t","enabler.input_queue[69].vKey","",""
"enabler","3","0x7a619c","0x1","int8_t","enabler.input_queue[69].shift","",""
"enabler","3","0x7a619d","0x1","int8_t","enabler.input_queue[69].capslock","",""
"enabler","3","0x7a61a0","0x4","int32_t","enabler.input_queue[70].vKey","",""
"enabler","3","0x7a61a4","0x1","int8_t","enabler.input_queue[70].shift","",""
"enabler","3","0x7a61a5","0x1","int8_t","enabler.input_queue[70].capslock","",""
"enabler","3","0x7a61a8","0x4","int32_t","enabler.input_queue[71].vKey","",""
"enabler","3","0x7a61ac","0x1","int8_t","enabler.input_queue[71].shift","",""
"enabler","3","0x7a61ad","0x1","int8_t","enabler.input_queue[71].capslock","",""
"enabler","3","0x7a61b0","0x4","int32_t","enabler.input_queue[72].vKey","",""
"enabler","3","0x7a61b4","0x1","int8_t","enabler.input_queue[72].shift","",""
"enabler","3","0x7a61b5","0x1","int8_t","enabler.input_queue[72].capslock","",""
"enabler","3","0x7a61b8","0x4","int32_t","enabler.input_queue[73].vKey","",""
"enabler","3","0x7a61bc","0x1","int8_t","enabler.input_queue[73].shift","",""
"enabler","3","0x7a61bd","0x1","int8_t","enabler.input_queue[73].capslock","",""
"enabler","3","0x7a61c0","0x4","int32_t","enabler.input_queue[74].vKey","",""
"enabler","3","0x7a61c4","0x1","int8_t","enabler.input_queue[74].shift","",""
"enabler","3","0x7a61c5","0x1","int8_t","enabler.input_queue[74].capslock","",""
"enabler","3","0x7a61c8","0x4","int32_t","enabler.input_queue[75].vKey","",""
"enabler","3","0x7a61cc","0x1","int8_t","enabler.input_queue[75].shift","",""
"enabler","3","0x7a61cd","0x1","int8_t","enabler.input_queue[75].capslock","",""
"enabler","3","0x7a61d0","0x4","int32_t","enabler.input_queue[76].vKey","",""
"enabler","3","0x7a61d4","0x1","int8_t","enabler.input_queue[76].shift","",""
"enabler","3","0x7a61d5","0x1","int8_t","enabler.input_queue[76].capslock","",""
"enabler","3","0x7a61d8","0x4","int32_t","enabler.input_queue[77].vKey","",""
"enabler","3","0x7a61dc","0x1","int8_t","enabler.input_queue[77].shift","",""
"enabler","3","0x7a61dd","0x1","int8_t","enabler.input_queue[77].capslock","",""
"enabler","3","0x7a61e0","0x4","int32_t","enabler.input_queue[78].vKey","",""
"enabler","3","0x7a61e4","0x1","int8_t","enabler.input_queue[78].shift","",""
"enabler","3","0x7a61e5","0x1","int8_t","enabler.input_queue[78].capslock","",""
"enabler","3","0x7a61e8","0x4","int32_t","enabler.input_queue[79].vKey","",""
"enabler","3","0x7a61ec","0x1","int8_t","enabler.input_queue[79].shift","",""
"enabler","3","0x7a61ed","0x1","int8_t","enabler.input_queue[79].capslock","",""
"enabler","3","0x7a61f0","0x4","int32_t","enabler.input_queue[80].vKey","",""
"enabler","3","0x7a61f4","0x1","int8_t","enabler.input_queue[80].shift","",""
"enabler","3","0x7a61f5","0x1","int8_t","enabler.input_queue[80].capslock","",""
"enabler","3","0x7a61f8","0x4","int32_t","enabler.input_queue[81].vKey","",""
"enabler","3","0x7a61fc","0x1","int8_t","enabler.input_queue[81].shift","",""
"enabler","3","0x7a61fd","0x1","int8_t","enabler.input_queue[81].capslock","",""
"enabler","3","0x7a6200","0x4","int32_t","enabler.input_queue[82].vKey","",""
"enabler","3","0x7a6204","0x1","int8_t","enabler.input_queue[82].shift","",""
"enabler","3","0x7a6205","0x1","int8_t","enabler.input_queue[82].capslock","",""
